1.21736	1.21303	1.21503
1.91882	0.632627	0.580565
1.58514	0.694937	0.611933
2.09275	0.78148	0.804518
2.60185	1.93102	1.45444
4.33744	0.947725	1.37899
5.01276	1.01444	1.13249
4.67449	1.18489	1.14985
5.06254	1.95916	1.37585
5.13625	1.73054	1.69079
5.64145	1.73406	1.74562
6.19077	1.99082	2.12948
7.27102	2.28238	2.0294
7.76829	2.29095	2.30351
7.67328	2.27771	2.58427
8.55127	2.20907	2.29943
8.70087	2.86962	2.8427
9.358	4.14876	3.00092
10.2874	3.59633	3.62791
11.7172	5.27348	3.24865
10.7985	3.43194	3.30424
12.0283	3.35284	3.32789
11.8843	3.76667	3.55967
12.3116	3.42494	3.5098
12.8061	3.95962	3.69858
13.5534	3.92866	3.82125
